ID,Name,Description,Status,Priority,Automation Status,Preconditions,Test Steps (Steps),Test Steps (Results),Test Type,References
T001,Guest can enter app without sign-in,Verify that tapping 'Continue as Guest' launches the app and navigates directly to the event catalog without requiring any credentials or form fields.,Active,High,not_automated,App is installed and launched for the first time in a fresh session.,Launch the Encore app ~ App opens to the guest entry screen,,smoke & sanity,None
,,,,,,,Tap 'Continue as Guest' ~ No form fields or sign-in prompts are shown,,,
,,,,,,,Observe the resulting screen ~ Event catalog (Event List) is displayed immediately,,,
T002,Event catalog displays all required event details,"Verify that each event card in the catalog shows title, category, venue, date/time, and starting price.",Active,High,not_automated,Guest has tapped 'Continue as Guest' and is on the Event List screen.,View the event catalog ~ A scrollable list of upcoming events is displayed,,functional,None
,,,,,,,Inspect any event card ~ Event title is visible,,,
,,,,,,,Inspect the same event card ~ Category label is visible,,,
,,,,,,,Inspect the same event card ~ Venue name is visible,,,
,,,,,,,Inspect the same event card ~ Date and time are visible,,,
,,,,,,,Inspect the same event card ~ Starting price is visible,,,
T003,Category filter chips narrow the event list,"Verify that selecting a category chip filters the catalog to show only events of that category, and selecting 'All' resets the full list.",Active,High,not_automated,Guest is on the Event List screen with all events visible.,Observe the filter chips row above the event list ~ 'All' chip and one chip per event category present in the catalog are displayed,,functional,None
,,,,,,,"Tap a specific category chip (e.g., 'Music') ~ Event list narrows to show only Music events",,,
,,,,,,,Verify no events from other categories appear ~ Only Music events are listed,,,
,,,,,,,Tap the 'All' chip ~ Full event catalog is restored with events from all categories,,,
T004,Sold-out events are marked and cannot be selected,Verify that events with no remaining seats display a sold-out indicator and are not tappable to proceed to event details.,Active,High,not_automated,At least one sold-out event exists in the catalog. Guest is on the Event List screen.,Scroll through the event catalog ~ A sold-out event is visible with a sold-out marker,,functional,None
,,,,,,,Attempt to tap the sold-out event ~ No navigation to Event Details occurs; the event remains unselectable,,,
T005,Event catalog is scrollable with 30 events across 5 categories,"Verify the catalog contains events across all 5 categories (Music, Theater, Comedy, Classical, Sports) and the list is scrollable.",Active,Medium,not_automated,Guest is on the Event List screen.,Scroll down through the event list ~ List scrolls smoothly and more events load into view,,functional,None
,,,,,,,"Check that events from all 5 categories (Music, Theater, Comedy, Classical, Sports) are present ~ At least one event per category is visible across the catalog",,,
,,,,,,,"Tap each category chip in turn ~ Each chip returns at least one event, confirming meaningful variety per category",,,
T006,Event Details screen shows full event information,"Verify that the Event Details screen displays full description, venue, date/time, and seating breakdown (Standard vs VIP counts and remaining seats).",Active,High,not_automated,Guest is on the Event List screen and at least one available event exists.,Tap an available event from the catalog ~ Event Details screen opens,,functional,None
,,,,,,,Verify full event description is displayed ~ Description text is visible,,,
,,,,,,,Verify venue name is displayed ~ Venue name is shown,,,
